quelle,reference
A shuttle bus brings people to it from the foot of the mountain.,Direktni bus koji kreće s podnožja planine prevozi ljude do vrha.
"Now, everybody is divided into micro societies, it's hard to be liked by everyone.","Sada su svi podijeljeni u mikrodruštva, teško je sviđati se svima."
"Right now, even if I need a few knuckledusters, I get them through someone I trust.","Trenutno, ako trebam par boksera, nabavit ću ih preko nekog kome vjerujem."
"Once this number has been found, the other nodes can easily check that it is the right one.","Jednom kad je taj broj pronađen, ostali čvorovi lako mogu provjeriti radi li se o pravoj transakciji."
"Because, in the opinion of a number of people working in palliative care, great moments occur at the very heart of such regression.","Jer, prema mišljenju ljudi koji rade u palijativnoj skrbi, veliki trenutci dešavaju se u samom srcu takve regresije."
But we'll have something to say against some very good European teams.,Ali imat ćemo nešto za reći protiv nekih vrlo dobrih europskih timova.
The Ministry of the Interior does not put arms from the illegal market back into circulation,Ministarstvo unutarnjih poslova ne vraća oružje s crnog tržišta natrag u cirkulaciju
"People used to get together in flocks, Bohemians liked one thing, the simple people, something else.","Ljudi su se prije nalazili u jatima, boemima se sviđala jedna stvar, jednostavni ljudi, nešto drugačije."
How do you explain this progression,
"If a migrant does not understand the language, says Sebelev with certainty, he is doomed to come across unconscientious people, who, pretending to help, will force upon him a ""ticket"" to terrible, cramped barracks where many others like him will suffer without food and documents, slaving away 12-14 hours a day.","""Ako migrant ne razumije jezik"", sa sigurnošću kaže Sebelev, ""suđen mu je susret s nesavjesnim ljudima koji će mu, praveći se da pomažu, dati ""kartu"" za grozne, pretrpane barake u kojima će pored mnogih poput sebe patiti bez hrane i dokumenata, i robovati 12-14 sati na dan""."
Most of the liberals were missing.,Većina liberala nije bila prisutna.
The word was not included in the previous Constitution.,To nije bilo uključeno u prošli ustav.
"According to the Ministry of the Interior's statistics, 142 crimes using firearms registered with law enforcement agencies have been committed in the six months of 2012, whereas 1,168,000 crimes have been recorded in total for this period.","Statistike Ministarstva unutarnjih poslova kažu da su u šest mjeseci 2012. počinjena 142 zločina korištenjem vatrenog oružja regirstriranog kod policije, dok je zabilježeno ukupno 1.168.000 zločina u tom periodu."
It takes time to build a team.,Potrebno je vrijeme da se izgradi tim.
"No industries have been re-established, no dams are in good condition, no major irrigation systems have been repaired.","Nijedna industrija nije ponovno uspostavljena, nijedna brana nije u dobrom stanju, nijedan veći sustav za navodnjavanje nije popravljen."
"The overwhelming majority of illegal weapons, according to the researchers, comes from the military and security forces.","Velika većina ilegalnog oružja, kažu istraživanja, dolazi od vojnih i sigurnosnih sila."
"And then, applications can also come from all the instrumentation that surrounds research.","I tako, primjena se može naći i raznim instrumentima korištenim u istraživanima."
"Glasses are a very personal device, that is their strength (private things are seen only by you) and, at the same time, their weakness - augmented reality based on glasses will not allow you to work on virtual objects together with other people.","Naočale su vrlo osobni uređaj, to je njihova jaka strana (samo korisnik vidi privatne stvari) i, istovremeno njihova slabost - proširena stvarnost temeljena na naočalama neće vam dopustiti da radite na virtualnim predmetima zajedno s drugim ljudima."
Enough to make already reluctant men hesitate to take screening tests.,To je dovoljno da muškarce koji se već ionako nećkaju natjera da oklijevaju oko odlaska na pregled.
"Nothing very impressive, compared to global transactions in real currency or financial products.","Ništa pretjerano impresivno, u usporedbi s globalnim transakcijama s pravim valutama ili financijskim proizvodima."
This is also where Jesus came before his disciples and after the resurrection.,To je također mjesto na kojem se Isus objavio svojim učenicima nakon uskrsnuća.
"Visitors and holidaymakers arrive mostly from the USA, Russia, France, Germany, Italy, England, and Ukraine.","Posjetioci i turisti dolaze uglavnom iz SAD-a, Rusije, Francuske, Njemačke, Italije, Engleske i Ukrajine."
"At the Victor-Gadbois home, one day follows another but no two are alike.","U domu Victor-Gadbois, dani idu jedan za drugim, ali nijedan nije sličan onom drugom."
