PBMT,Factored,NMT
"<mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator1"" id=""2866""/>Shuttle bus<mqm:endIssue id=""2866""/> dovodi ljude <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2867""/>na to<mqm:endIssue id=""2867""/> <mqm:startIssue type=""Incorrect"" severity=""critical"" note="""" agent=""annotator1"" id=""2868""/>iz<mqm:endIssue id=""2868""/> podnožja planine.","<mqm:startIssue type=""Untranslated"" severity=""critical"" note="""" agent=""annotator1"" id=""2869""/>Shuttle bus<mqm:endIssue id=""2869""/> dovodi ljude <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2870""/>na to<mqm:endIssue id=""2870""/>, <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator1"" id=""2871""/>iz<mqm:endIssue id=""2871""/> podnožja planine.","Autobus za <mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator1"" id=""3334""/>shuttle<mqm:endIssue id=""3334""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3335""/>donosi<mqm:endIssue id=""3335""/> ljude <mqm:startIssue type=""Incorrect"" severity=""critical"" note="""" agent=""annotator1"" id=""3336""/>iz<mqm:endIssue id=""3336""/> podnožja planine."
"Sada, svi se <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator1"" id=""2872""/>dijeli<mqm:endIssue id=""2872""/> na mikro <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""2873""/>društava<mqm:endIssue id=""2873""/>, teško je <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator1"" id=""2874""/>da se svidimo<mqm:endIssue id=""2874""/> drugima.","Sada, svi su podijeljeni u mikro društva, teško je <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator1"" id=""2875""/>da se svidimo<mqm:endIssue id=""2875""/> drugima.","Sada, svi su podijeljeni u mikro društva, teško je biti <mqm:startIssue type=""Spelling"" severity=""null"" note="""" agent=""annotator1"" id=""3339""/>VOLJEN<mqm:endIssue id=""3339""/> od svih."
"Sada, čak i ako trebam nekoliko <mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator1"" id=""2876""/>knuckledusters<mqm:endIssue id=""2876""/>, dobivam ih kroz <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""2877""/>neko<mqm:endIssue id=""2877""/><mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""2878""/> <mqm:endIssue id=""2878""/>vjerujem.","Sada, čak i ako trebam nekoliko <mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator1"" id=""2879""/>knuckledusters<mqm:endIssue id=""2879""/>, dobivam ih kroz nekoga<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""2880""/> <mqm:endIssue id=""2880""/>vjerujem.","Upravo sada, čak i ako mi je potrebno nekoliko <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3340""/>""ručnih maramica""<mqm:endIssue id=""3340""/>, nabavit ću ih preko nekoga kome vjerujem."
"Kad ovaj broj <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""2881""/>je<mqm:endIssue id=""2881""/> pronađen, drugi čvorovi mogu lako provjeriti da je ispravna.","Nakon što je ovaj broj <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""2882""/>je<mqm:endIssue id=""2882""/> pronađen, ostali čvorovi mogu lako provjeriti da je ispravna.","Kada je ovaj broj pronađen, drugi <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""3343""/>se<mqm:endIssue id=""3343""/> čvorovi mogu lako provjeriti da je ona ispravna."
"Jer, po mišljenju velikog broja ljudi koji rade u <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""2883""/>palijativne<mqm:endIssue id=""2883""/> skrbi, veliki trenuci se <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator1"" id=""2884""/>odvijaju<mqm:endIssue id=""2884""/> u samom srcu takve regresije.","Jer, po mišljenju velikog broja ljudi koji rade u palijativnoj skrbi, veliki trenuci se javljaju u samom srcu takve regresije.","Jer, po mišljenju <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3348""/>broja<mqm:endIssue id=""3348""/> ljudi koji rade u <mqm:startIssue type=""Spelling"" severity=""null"" note="""" agent=""annotator1"" id=""3349""/>palliativnoj<mqm:endIssue id=""3349""/> njezi, veliki trenuci se događaju u samom srcu takve regresije."
"Ali ćemo imati nešto za reći protiv <mqm:startIssue type=""Mistranslation"" severity=""critical"" note="""" agent=""annotator1"" id=""2885""/>nekeÂ vrlo dobre europske<mqm:endIssue id=""2885""/> momčadi.",Ali ćemo imati nešto za reći protiv vrlo dobrih europskih timova.,Ali imat ćemo nešto za reći protiv nekih vrlo dobrih europskih timova.
"Ministarstvo unutarnjih poslova ne stavi <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2886""/>ruke<mqm:endIssue id=""2886""/> <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator1"" id=""2887""/>na<mqm:endIssue id=""2887""/> ilegalnom tržištu natrag u promet","Ministarstvo unutarnjih poslova ne stavi <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2888""/>ruke<mqm:endIssue id=""2888""/> od nelegalnog tržišta natrag u promet","Ministarstvo unutarnjih poslova ne stavlja oružje s nelegalnog tržišta<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3350""/> <mqm:endIssue id=""3350""/>u opticaj"
"Ljudi <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2889""/>koriste<mqm:endIssue id=""2889""/> da se okupe u jatima, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2890""/>primilo<mqm:endIssue id=""2890""/> je volio jednu stvar, jednostavni ljudi, nešto drugo.","Ljudi <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2891""/>koji se koriste<mqm:endIssue id=""2891""/> kako bi se <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2892""/>zajedno<mqm:endIssue id=""2892""/> u jatima, <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""2893""/>gomila<mqm:endIssue id=""2893""/> boema sviđala jedna stvar, jednostavni ljudi, nešto drugo.","Ljudi su se okupljali u jatima, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3355""/>boemijanci<mqm:endIssue id=""3355""/> su voljeli jednu stvar, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3356""/>obični<mqm:endIssue id=""3356""/> ljudi, nešto drugo."
"Kako <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""Project Manager"" id=""2894""/>objašnjavaš<mqm:endIssue id=""2894""/> ovo <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""Project Manager"" id=""2895""/>napredovanje<mqm:endIssue id=""2895""/>?","Kako <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""Project Manager"" id=""2896""/>objašnjavaš<mqm:endIssue id=""2896""/> ovo <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""Project Manager"" id=""2897""/>napredovanje<mqm:endIssue id=""2897""/>?",Kako objašnjavate ovaj napredak
"Ako<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""2898""/> <mqm:endIssue id=""2898""/>još ne <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator1"" id=""2899""/>razumiju<mqm:endIssue id=""2899""/> jezik, <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""2900""/>kaže <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""2901""/>da<mqm:endIssue id=""2901""/> sa sigurnošću Sebelev<mqm:endIssue id=""2900""/>, on je osuđen<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""2902""/> <mqm:endIssue id=""2902""/>da nesavjesni ljudi, koji, pretvarajući se da <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""2903""/><mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator1"" id=""2904""/>pomogne<mqm:endIssue id=""2904""/><mqm:endIssue id=""2903""/>, <mqm:startIssue type=""Unintelligible"" severity=""null"" note="""" agent=""annotator1"" id=""2905""/>natjerat će ga na ""kartu"" užasna<mqm:endIssue id=""2905""/>, <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""2906""/>skučenim vojarni<mqm:endIssue id=""2906""/> gdje <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""2907""/>su<mqm:endIssue id=""2907""/> mnogi drugi poput njega <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""2908""/>će<mqm:endIssue id=""2908""/> patiti bez hrane i dokumenata, <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""2909""/>robuje<mqm:endIssue id=""2909""/> 12 - 14 sati dnevno.","Ako doseljenik ne <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator1"" id=""2910""/>razumiju<mqm:endIssue id=""2910""/> jezik, <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""2911""/>kaže Sebelev sa sigurnošću<mqm:endIssue id=""2911""/>, on je osuđen da <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2912""/>se preko<mqm:endIssue id=""2912""/> nesavjesni ljudi, koji <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""2913""/>su<mqm:endIssue id=""2913""/>, pretvarajući se <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2914""/>u pomoć<mqm:endIssue id=""2914""/>, <mqm:startIssue type=""Unintelligible"" severity=""null"" note="""" agent=""annotator1"" id=""2915""/>prisilit će ga na ""kartu"" užasna<mqm:endIssue id=""2915""/>, skučene barake, gdje <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""2916""/>su<mqm:endIssue id=""2916""/> mnogi drugi poput njega <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""2917""/>će<mqm:endIssue id=""2917""/> patiti bez hrane i dokumenata, <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""2918""/>robuje<mqm:endIssue id=""2918""/> 12 - 14 sati dnevno.","Ako <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3377""/>migranti ne razumiju<mqm:endIssue id=""3377""/> jezik, kaže <mqm:startIssue type=""Spelling"" severity=""null"" note="""" agent=""annotator1"" id=""3378""/>seelev<mqm:endIssue id=""3378""/> sa sigurnošću, on je osuđen da <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3379""/>bi naišao<mqm:endIssue id=""3379""/> na nesavjesne ljude, koji, pretvarajući se <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3380""/>u pomoć<mqm:endIssue id=""3380""/>, prisilit će ga na ""kartu"" za užasne, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3381""/>grčeve<mqm:endIssue id=""3381""/> barake, gdje mnogi drugi poput njega pate bez hrane i dokumenata, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3382""/>robova<mqm:endIssue id=""3382""/> od 12-14 sati na dan."
