mt_out1,mt_out2,mt_out3
"<mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator2"" id=""2290""/>Shuttle bus<mqm:endIssue id=""2290""/> dovodi ljude <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2291""/>na to<mqm:endIssue id=""2291""/> <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2292""/>iz<mqm:endIssue id=""2292""/> podnožja planine.","<mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator2"" id=""2293""/>Shuttle bus<mqm:endIssue id=""2293""/> dovodi ljude <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2294""/>na to<mqm:endIssue id=""2294""/>, <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2295""/>iz<mqm:endIssue id=""2295""/> podnožja planine.","Autobus <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3329""/>za shuttle<mqm:endIssue id=""3329""/> <mqm:startIssue type=""Mistranslation"" severity=""critical"" note="""" agent=""annotator2"" id=""3330""/>donosi <mqm:endIssue id=""3330""/>ljude <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""3331""/>iz<mqm:endIssue id=""3331""/> podnožja planine."
"Sada, svi se <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2296""/>dijeli<mqm:endIssue id=""2296""/> na mikro <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2297""/>društava<mqm:endIssue id=""2297""/>, teško je da se svidimo <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2298""/>drugima<mqm:endIssue id=""2298""/>.","Sada, svi su podijeljeni <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2299""/>u<mqm:endIssue id=""2299""/> mikro društva, teško je da se svidimo <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2300""/>drugima<mqm:endIssue id=""2300""/>.","Sada, svi su podijeljeni u mikro društva, teško je <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""3332""/>biti VOLJEN<mqm:endIssue id=""3332""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3333""/>od svih<mqm:endIssue id=""3333""/>."
"<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""2301""/><ins>Â <mqm:endIssue id=""2301""/>Â </ins>Sada, čak i ako trebam nekoliko <mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator2"" id=""2302""/>knuckledusters<mqm:endIssue id=""2302""/>, dobivam ih <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2303""/>kroz <mqm:endIssue id=""2303""/><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2304""/><mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""2305""/>neko <mqm:endIssue id=""2305""/><mqm:endIssue id=""2304""/>vjerujem.","<mqm:startIssue type=""Omission"" severity=""null"" note=""nisam siguran kako označiti da se svidimo, u oba outputa bi trebalo biti svidjeti se. međutim, i na drugim segmentima primjećujem da je u training setu bilo srpskog (npr. planeta ili Evropa), pa je moguće da je ovdje isti problem."" agent=""annotator2"" id=""2306""/><ins>Â </ins><mqm:endIssue id=""2306""/>Sada, čak i ako trebam nekoliko <mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator2"" id=""2307""/>knuckledusters<mqm:endIssue id=""2307""/>, dobivam ih <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2308""/>kroz<mqm:endIssue id=""2308""/> nekoga vjerujem.","<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3337""/>Upravo sada<mqm:endIssue id=""3337""/>, čak i ako mi je potrebno nekoliko <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3338""/>""ručnih maramica""<mqm:endIssue id=""3338""/>, nabavit ću ih preko nekoga kome vjerujem."
"Kad ovaj broj <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2309""/>je<mqm:endIssue id=""2309""/> pronađen, drugi čvorovi mogu lako provjeriti da je <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2310""/>ispravna<mqm:endIssue id=""2310""/>.","Nakon što je ovaj broj je pronađen, ostali čvorovi mogu lako provjeriti da je <mqm:startIssue type=""Gender"" severity=""null"" note=""preko/putem nekog -kome- vjerujem. to nedostaje, a nije nužno omission pa ne znam označiti. vrijedi za oba outputa."" agent=""annotator2"" id=""2311""/>ispravna<mqm:endIssue id=""2311""/>.","Kada je ovaj broj pronađen, drugi <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""3341""/>se <mqm:endIssue id=""3341""/>čvorovi mogu lako provjeriti da je <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""3342""/>ona ispravna<mqm:endIssue id=""3342""/>."
"Jer, po mišljenju velikog broja ljudi koji rade u <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2312""/>palijativne<mqm:endIssue id=""2312""/> skrbi, veliki trenuci se odvijaju u samom srcu takve regresije.","Jer, po mišljenju velikog broja ljudi koji rade u palijativnoj skrbi, veliki trenuci se <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2313""/>javljaju<mqm:endIssue id=""2313""/> u samom srcu takve regresije.","<mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""3344""/>Jer<mqm:endIssue id=""3344""/>, po mišljenju <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3345""/>broja <mqm:endIssue id=""3345""/>ljudi koji rade u palliativnoj <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""3346""/>njezi<mqm:endIssue id=""3346""/>, veliki trenuci <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""3347""/>se<mqm:endIssue id=""3347""/> događaju u samom srcu takve regresije."
"Ali ćemo imati nešto za reći protiv <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2314""/>neke vrlo dobre<ins>Â </ins><del> </del>europske<mqm:endIssue id=""2314""/><ins>Â </ins><del> </del>momčadi.","Ali ćemo imati nešto za reći protiv<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""2315""/> <mqm:endIssue id=""2315""/>vrlo dobrih europskih timova.","Ali imat ćemo <mqm:startIssue type=""Word form"" severity=""null"" note="""" agent=""annotator2"" id=""3351""/>nešto <mqm:endIssue id=""3351""/>za reći protiv nekih vrlo dobrih europskih timova."
"Ministarstvo unutarnjih poslova ne <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2316""/>stavi <mqm:endIssue id=""2316""/><mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2317""/>ruke <mqm:endIssue id=""2317""/><mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2318""/>na<mqm:endIssue id=""2318""/> <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2319""/>ilegalnom tržištu<mqm:endIssue id=""2319""/> natrag u <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2320""/>promet<mqm:endIssue id=""2320""/>","Ministarstvo unutarnjih poslova ne <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2321""/>stavi<mqm:endIssue id=""2321""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2322""/>ruke<mqm:endIssue id=""2322""/> <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2323""/>od<mqm:endIssue id=""2323""/> nelegalnog tržišta natrag u <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2324""/>promet<mqm:endIssue id=""2324""/>",Ministarstvo unutarnjih poslova ne stavlja oružje s nelegalnog tržišta u opticaj
"Ljudi <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2325""/>koriste da se okupe<mqm:endIssue id=""2325""/> u jatima, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2326""/>primilo <mqm:endIssue id=""2326""/><mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2327""/><mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2328""/>je volio<mqm:endIssue id=""2328""/><mqm:endIssue id=""2327""/> jednu stvar, <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2329""/>jednostavni ljudi<mqm:endIssue id=""2329""/>, nešto <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2330""/>drugo<mqm:endIssue id=""2330""/>.","Ljudi <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2331""/>koji se koriste kako bi se zajedno<mqm:endIssue id=""2331""/> u jatima, <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator2"" id=""2332""/>gomila<mqm:endIssue id=""2332""/> boema <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2333""/><mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2334""/>sviđala<mqm:endIssue id=""2334""/><mqm:endIssue id=""2333""/> jedna stvar, jednostavni ljudi, nešto <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2335""/>drugo<mqm:endIssue id=""2335""/>.","Ljudi su se<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""3352""/> <mqm:endIssue id=""3352""/>okupljali u jatima, boemijanci su voljeli jednu stvar, <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""3353""/>obični<mqm:endIssue id=""3353""/> ljudi, nešto <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3354""/>drugo<mqm:endIssue id=""3354""/>."
,Kako objašnjavate ovaj napredak,Kako objašnjavate taj napredak
"Ako<ins>Â <mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""2336""/>Â <mqm:endIssue id=""2336""/>Â </ins><del> </del>još ne <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2337""/>razumiju <mqm:endIssue id=""2337""/>jezik, kaže <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator2"" id=""2338""/>da<mqm:endIssue id=""2338""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2339""/>sa sigurnošću<mqm:endIssue id=""2339""/> <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2340""/>Sebelev<mqm:endIssue id=""2340""/>, on je osuđen da nesavjesni ljudi, koji, pretvarajući se da <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2341""/>pomogne<mqm:endIssue id=""2341""/>, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2342""/>natjerat <mqm:endIssue id=""2342""/><mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2343""/>će ga<mqm:endIssue id=""2343""/> <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2344""/><mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2345""/>na<mqm:endIssue id=""2345""/><mqm:endIssue id=""2344""/><ins>Â </ins><del> </del>""kartu"" <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2346""/>užasna<mqm:endIssue id=""2346""/>, <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2347""/>skučenim <mqm:endIssue id=""2347""/><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2348""/><mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2349""/>vojarni <mqm:endIssue id=""2349""/><mqm:endIssue id=""2348""/>gdje <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2350""/>su <mqm:endIssue id=""2350""/>mnogi drugi poput njega će patiti bez hrane i dokumenata, <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2351""/>robuje <mqm:endIssue id=""2351""/>12 - 14 sati dnevno.","Ako doseljenik ne <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2352""/>razumiju<mqm:endIssue id=""2352""/> jezik, kaže Sebelev sa sigurnošću, on je osuđen da <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2353""/>se<ins>Â </ins><del> </del>preko<mqm:endIssue id=""2353""/><ins>Â </ins><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2354""/><del> </del>nesavjesni<ins>Â </ins><del> </del>ljudi<mqm:endIssue id=""2354""/>, koji<ins>Â </ins><mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator2"" id=""2355""/><del> </del>su<mqm:endIssue id=""2355""/>, pretvarajući se <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2356""/>u pomoć<mqm:endIssue id=""2356""/>, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2357""/>prisilit<mqm:endIssue id=""2357""/> <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2358""/>će<mqm:endIssue id=""2358""/> ga na ""kartu""<mqm:startIssue type=""Missing"" severity=""null"" note="""" agent=""annotator2"" id=""2359""/> <mqm:endIssue id=""2359""/><mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2360""/>užasna<mqm:endIssue id=""2360""/>, skučene barake, gdje <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator2"" id=""2361""/>su<mqm:endIssue id=""2361""/> mnogi drugi poput njega <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2362""/>će<mqm:endIssue id=""2362""/> patiti bez hrane i dokumenata, <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2363""/>robuje<mqm:endIssue id=""2363""/> 12 - 14 sati dnevno.","Ako migranti ne razumiju jezik, kaže <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3357""/>seelev<mqm:endIssue id=""3357""/> sa sigurnošću, <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""3358""/>on<mqm:endIssue id=""3358""/> je osuđen <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""3359""/>da bi naišao<mqm:endIssue id=""3359""/> na nesavjesne ljude, koji, pretvarajući se <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3360""/>u pomoć<mqm:endIssue id=""3360""/>, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3361""/>prisilit <mqm:endIssue id=""3361""/><mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""3362""/>će ga<mqm:endIssue id=""3362""/> na ""kartu"" za užasne, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3363""/>grčeve <mqm:endIssue id=""3363""/>barake, gdje mnogi drugi poput njega <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""3364""/>pate <mqm:endIssue id=""3364""/>bez hrane i dokumenata, <mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""3365""/>robova <mqm:endIssue id=""3365""/>od 12-14 sati na dan."
"Većina <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2364""/>liberali <mqm:endIssue id=""2364""/><mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2365""/><mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2366""/>su<mqm:endIssue id=""2366""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2367""/>nestale<mqm:endIssue id=""2367""/><mqm:endIssue id=""2365""/>.","Većina <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2368""/>liberali<mqm:endIssue id=""2368""/> <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2369""/><mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2370""/>su<mqm:endIssue id=""2370""/><mqm:endIssue id=""2369""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2371""/><mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2372""/>nedostajali<mqm:endIssue id=""2372""/><mqm:endIssue id=""2371""/>.","Većina liberala <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3366""/>je nestala<mqm:endIssue id=""3366""/>."
"Riječ nije bila uključena u prethodnom <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2373""/>periodu<mqm:endIssue id=""2373""/>.",Riječ nije bila uključena u prethodnom Ustavu.,"<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""3367""/>Riječ<mqm:endIssue id=""3367""/> nije bila uključena u prethodni Ustav."
"Prema<ins>Â </ins><mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2374""/><del> </del>Ministarstvu<ins>Â </ins><del> </del>unutarnjih poslova <ins>Â </ins>statistike<mqm:endIssue id=""2374""/>, 142 kaznena djela uporabom oružja <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2375""/>registrirani<mqm:endIssue id=""2375""/> <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2376""/>sa<mqm:endIssue id=""2376""/> službama za provođenje zakona <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2377""/>su<mqm:endIssue id=""2377""/> počinjena u prvih šest mjeseci 2012. godine, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2378""/>budući da<mqm:endIssue id=""2378""/> <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2379""/>su zabilježeni<mqm:endIssue id=""2379""/> <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2380""/><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2381""/>zločini <mqm:endIssue id=""2381""/><mqm:endIssue id=""2380""/>1,168,000 <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""2382""/>u ukupnom iznosu<mqm:endIssue id=""2382""/> <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2383""/>za <mqm:endIssue id=""2383""/>ovo razdoblje.","Prema statistici Ministarstva unutarnjih poslova, 142 <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2384""/>zlocine<mqm:endIssue id=""2384""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2385""/>koristeci<mqm:endIssue id=""2385""/> vatreno oružje registrirano <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2386""/>s<mqm:endIssue id=""2386""/> policijskim tijelima <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator2"" id=""2387""/>koja<mqm:endIssue id=""2387""/> <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2388""/>su<mqm:endIssue id=""2388""/> počinjena u prvih šest mjeseci 2012. godine, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2389""/>budući da<mqm:endIssue id=""2389""/> <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator2"" id=""2390""/>su<mqm:endIssue id=""2390""/> <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2391""/>zločini<mqm:endIssue id=""2391""/> <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2392""/>1,168,000<mqm:endIssue id=""2392""/> zabilježeno <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2393""/>je<mqm:endIssue id=""2393""/> <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2394""/>ukupno<mqm:endIssue id=""2394""/> <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2395""/>za<mqm:endIssue id=""2395""/> ovaj period.","Prema podacima Ministarstva unutarnjih poslova, 142 zločina koji se <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""3368""/>odnosi <mqm:endIssue id=""3368""/>na oružje koje je registrirano <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""3369""/>sa <mqm:endIssue id=""3369""/>tijelima za provedbu zakona <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""3370""/>je <mqm:endIssue id=""3370""/>počinjeno u šest mjeseci 2012. godine, dok je <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""3371""/>za <mqm:endIssue id=""3371""/>ovo razdoblje zabilježeno 1.168.000 kaznenih djela."
"Treba vremena za <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2396""/><mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""2397""/><mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2398""/>izgraditi<mqm:endIssue id=""2398""/><mqm:endIssue id=""2397""/> <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2399""/>momčad<mqm:endIssue id=""2399""/><mqm:endIssue id=""2396""/>.",Potrebno je vrijeme da se izgradi tim.,Treba vremena da se izgradi tim.
"<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2400""/>Nema industrije su<mqm:endIssue id=""2400""/> <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2401""/>obnovljene<mqm:endIssue id=""2401""/>, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2402""/>nema brane su<mqm:endIssue id=""2402""/> u dobrom stanju, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2403""/>nema većih sistema za navodnjavanje je<mqm:endIssue id=""2403""/> popravljen.","<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2404""/>Bez industrije su<mqm:endIssue id=""2404""/> ponovo uspostavljena, <mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator2"" id=""2405""/>no<mqm:endIssue id=""2405""/> brane <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2406""/>su<mqm:endIssue id=""2406""/> u dobrom stanju, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2407""/>bez<mqm:endIssue id=""2407""/> velikih irigacionih sistema <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2408""/>je<mqm:endIssue id=""2408""/> <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator2"" id=""2409""/>popravljena<mqm:endIssue id=""2409""/>.","Nijedna industrija nije<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""3372""/> <mqm:endIssue id=""3372""/>uspostavljena, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3373""/>ni<mqm:endIssue id=""3373""/> brana nije u dobrom stanju, nijedan<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""3374""/> <mqm:endIssue id=""3374""/>sustav za navodnjavanje nije popravljen."
"Velika većina ilegalnog oružja, prema istraživačima, potječe iz <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""Project Manager"" id=""2410""/>vojne i sigurnosne snage<mqm:endIssue id=""2410""/>.","Velika većina ilegalnog oružja, prema istraživačima, dolazi iz vojnih i sigurnosnih snaga.","Velika većina ilegalnog oružja, prema istraživačima, dolazi iz vojnih i sigurnosnih snaga."
