PBMT,Factored,NMT
Shuttle bus dovodi ljude na to iz podnožja planine.,"Shuttle bus dovodi ljude na to, iz podnožja planine.",Autobus za shuttle donosi ljude iz podnožja planine.
"Sada, svi se dijeli na mikro društava, teško je da se svidimo drugima.","Sada, svi su podijeljeni u mikro društva, teško je da se svidimo drugima.","Sada, svi su podijeljeni u mikro društva, teško je biti VOLJEN od svih."
"Sada, čak i ako trebam nekoliko knuckledusters, dobivam ih kroz neko vjerujem.","Sada, čak i ako trebam nekoliko knuckledusters, dobivam ih kroz nekoga vjerujem.","Upravo sada, čak i ako mi je potrebno nekoliko ""ručnih maramica"", nabavit ću ih preko nekoga kome vjerujem."
"Kad ovaj broj je pronađen, drugi čvorovi mogu lako provjeriti da je ispravna.","Nakon što je ovaj broj je pronađen, ostali čvorovi mogu lako provjeriti da je ispravna.","Kada je ovaj broj pronađen, drugi se čvorovi mogu lako provjeriti da je ona ispravna."
"Jer, po mišljenju velikog broja ljudi koji rade u palijativne skrbi, veliki trenuci se odvijaju u samom srcu takve regresije.","Jer, po mišljenju velikog broja ljudi koji rade u palijativnoj skrbi, veliki trenuci se javljaju u samom srcu takve regresije.","Jer, po mišljenju broja ljudi koji rade u palliativnoj njezi, veliki trenuci se događaju u samom srcu takve regresije."
Ali ćemo imati nešto za reći protiv neke vrlo dobre europske momčadi.,Ali ćemo imati nešto za reći protiv vrlo dobrih europskih timova.,Ali imat ćemo nešto za reći protiv nekih vrlo dobrih europskih timova.
Ministarstvo unutarnjih poslova ne stavi ruke na ilegalnom tržištu natrag u promet,Ministarstvo unutarnjih poslova ne stavi ruke od nelegalnog tržišta natrag u promet,Ministarstvo unutarnjih poslova ne stavlja oružje s nelegalnog tržišta u opticaj
"Ljudi koriste da se okupe u jatima, primilo je volio jednu stvar, jednostavni ljudi, nešto drugo.","Ljudi koji se koriste kako bi se zajedno u jatima, gomila boema sviđala jedna stvar, jednostavni ljudi, nešto drugo.","Ljudi su se okupljali u jatima, boemijanci su voljeli jednu stvar, obični ljudi, nešto drugo."
Kako objašnjavaš ovo napredovanje?,Kako objašnjavaš ovo napredovanje?,Kako objašnjavate taj napredak
"Ako još ne razumiju jezik, kaže da sa sigurnošću Sebelev, on je osuđen da nesavjesni ljudi, koji, pretvarajući se da pomogne, natjerat će ga na ""kartu"" užasna, skučenim vojarni gdje su mnogi drugi poput njega će patiti bez hrane i dokumenata, robuje 12 - 14 sati dnevno.","Ako doseljenik ne razumiju jezik, kaže Sebelev sa sigurnošću, on je osuđen da se preko nesavjesni ljudi, koji su, pretvarajući se u pomoć, prisilit će ga na ""kartu"" užasna, skučene barake, gdje su mnogi drugi poput njega će patiti bez hrane i dokumenata, robuje 12 - 14 sati dnevno.","Ako migranti ne razumiju jezik, kaže seelev sa sigurnošću, on je osuđen da bi naišao na nesavjesne ljude, koji, pretvarajući se u pomoć, prisilit će ga na ""kartu"" za užasne, grčeve barake, gdje mnogi drugi poput njega pate bez hrane i dokumenata, robova od 12-14 sati na dan."
Većina liberali su nestale.,Većina liberali su nedostajali.,Većina liberala je nestala.
Riječ nije bila uključena u prethodnom periodu.,Riječ nije bila uključena u prethodnom Ustavu.,Riječ nije bila uključena u prethodni Ustav.
